data,selic_meta,debt_dbgg,ibc_br,ipca,selic_efetiva,unemployment,usd_brl,selic_next,target,ipca_pct1,ipca_pct3,ibc_br_pct1,ibc_br_pct3,debt_dbgg_pct1,debt_dbgg_pct3,usd_brl_pct1,usd_brl_pct3,unemployment_pct1,unemployment_pct3,ipca_ma3,ipca_std3,ibc_br_ma3,ibc_br_std3,usd_brl_ma3,usd_brl_std3,selic_meta_lag1,selic_meta_lag3,ipca_lag1,ipca_lag3,ibc_br_lag1,ibc_br_lag3,unemployment_lag1,unemployment_lag3,usd_brl_lag1,usd_brl_lag3
2017-02-01,12.82,37.51,90.92554,0.33,0.87,13.3,3.103588888888889,12.15,0,-0.13157894736842102,0.8333333333333335,0.003924917351274759,-0.021755574938027045,0.024024024024023927,0.12947907256850333,-0.0289104721468042,-0.07117943847727204,0.047244094488189115,0.10833333333333339,0.33666666666666667,0.040414518843277195,91.75586666666668,1.7550460737352018,3.217081144781145,0.1253777342223665,13.17,13.9,0.38,0.18,90.57006,92.94767,12.7,12.0,3.195986363636364,3.34143
2017-03-01,12.15,37.82,99.65428,0.25,1.05,13.9,3.1273304347826087,11.59,0,-0.24242424242424243,-0.16666666666666663,0.0959987699825593,0.0627295994539947,0.008264462809917328,0.05495118549511857,0.0076497070790260135,-0.06693316129936122,0.045112781954887105,0.14876033057851257,0.32,0.06557438524302214,93.71662666666667,5.145229522356939,3.1423018957692874,0.04798366199014484,12.82,13.65,0.33,0.3,90.92554,93.772,13.3,12.1,3.103588888888889,3.351668181818182
2017-04-01,11.59,37.79,93.78418,0.14,0.79,13.7,3.135572222222222,11.15,0,-0.43999999999999995,-0.631578947368421,-0.05890464513917504,0.035487665570719695,-0.0007932310946588972,0.03166803166803156,0.0026354066548091026,-0.018903128655844204,-0.014388489208633115,0.07874015748031504,0.24,0.09539392014169615,94.78800000000001,4.450108587574026,3.12216384863124,0.016605830666442466,12.15,13.17,0.25,0.38,99.65428,90.57006,13.9,12.7,3.1273304347826087,3.195986363636364
2017-05-01,11.15,38.35,95.21498,0.31,0.93,13.4,3.208704545454545,10.15,0,1.214285714285714,-0.06060606060606066,0.01525630442149195,0.0471753041004761,0.014818735115109893,0.02239402825913106,0.023323437653269163,0.03386906588755334,-0.021897810218978075,0.007518796992481258,0.2333333333333333,0.08621678104251884,96.21781333333332,3.060845393569141,3.157202400819792,0.044792130352712754,11.59,12.82,0.14,0.33,93.78418,90.92554,13.7,13.3,3.135572222222222,3.103588888888889
2017-06-01,10.15,38.64,94.58943,-0.23,0.81,13.1,3.294766666666667,10.01,0,-1.7419354838709677,-1.92,-0.006569869573044063,-0.050824209456934555,0.007561929595827799,0.021681649920676893,0.02682145395219937,0.0535396675777553,-0.022388059701492602,-0.05755395683453246,0.07333333333333333,0.2761038451983849,94.52953000000001,0.7172783054714831,3.2130144781144785,0.07968468751989934,11.15,12.15,0.31,0.25,95.21498,99.65428,13.4,13.9,3.208704545454545,3.1273304347826087
2017-07-01,10.01,39.96,97.01666,0.24,0.8,12.9,3.205538095238095,9.15,0,-2.0434782608695654,0.714285714285714,0.02566068957176304,0.03446722037767991,0.03416149068322971,0.05742259857105059,-0.02708190911705588,0.022313590010784923,-0.015267175572518998,-0.058394160583941535,0.10666666666666665,0.293655126523161,95.60702333333332,1.2602122240453983,3.2363364357864355,0.05062682601429282,10.15,11.59,-0.23,0.14,94.58943,93.78418,13.1,13.7,3.294766666666667,3.135572222222222
2017-08-01,9.15,40.46,98.23354,0.19,0.8,12.7,3.1503130434782607,8.35,0,-0.20833333333333326,-0.3870967741935484,0.012543000346538546,0.03170257453186465,0.012512512512512508,0.05501955671447201,-0.017228012932328673,-0.018197843132363722,-0.015503875968992276,-0.052238805970149294,0.06666666666666667,0.25813433195399194,96.61321,1.8552529072609438,3.216872601794341,0.07289077851292278,10.01,11.15,0.24,0.31,97.01666,95.21498,12.9,13.4,3.205538095238095,3.208704545454545
2017-09-01,8.35,40.94,94.54955,0.16,0.64,12.5,3.13419,8.01,0,-0.1578947368421053,-1.6956521739130435,-0.03750236426377396,-0.0004216115902168083,0.011863568956994586,0.059523809523809534,-0.005117917888077361,-0.04873688576833979,-0.015748031496062964,-0.04580152671755722,0.19666666666666666,0.040414518843277826,96.59991666666667,1.8770194017200523,3.163347046238785,0.03741726332185777,9.15,10.15,0.19,-0.23,98.23354,94.58943,12.7,13.1,3.1503130434782607,3.294766666666667
2017-10-01,8.01,40.68,95.51075,0.42,0.64,12.3,3.190638095238095,7.4,0,1.625,0.75,0.01016609809353941,-0.01552217938650946,-0.006350757205666802,0.018018018018018056,0.018010425417123832,-0.004648205560911722,-0.015999999999999903,-0.046511627906976716,0.25666666666666665,0.1422439219556802,96.09794666666666,1.9109017567717776,3.1583803795721184,0.02907590579398762,8.35,10.01,0.16,0.24,94.54955,97.01666,12.5,12.9,3.13419,3.205538095238095
2017-11-01,7.4,41.05,94.89115,0.28,0.57,12.1,3.258735,7.0,0,-0.33333333333333326,0.47368421052631593,-0.0064872278774903425,-0.03402493690037034,0.00909537856440501,0.014582303509639072,0.021342722906598777,0.034416248488763124,-0.016260162601626105,-0.047244094488189003,0.2866666666666667,0.13012814197295536,94.98381666666667,0.48725423890754854,3.1945210317460315,0.06236322757197318,8.01,9.15,0.42,0.19,95.51075,98.23354,12.3,12.7,3.190638095238095,3.1503130434782607
